mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,AR351_A,AR351_B,AR351_C,Cipro_A,Cipro_B,Cipro_C,Coumermycin_A,Coumermycin_B,Coumermycin_C,CN-DM-861_A,CN-DM-861_B,CN-DM-861_C,Levo_A,Levo_B,Levo_C,Lome_A,Lome_B,Lome_C,Novo_A,Novo_B,Novo_C,untreated_A,untreated_B,untreated_C,isotopes,iso_anno,adduct,pcgroup,anno,metabolite,main_peak,ID by,ID level
73.5316066983576,73.531445967784,73.5316468138733,63.5250625610352,63.2921752929688,64.0527420043945,21,4334.08787517064,7605.85745734269,4833.03777837347,5395.25097917513,7098.65580072877,7473.4562020101,2938.50016248079,1962.62522144928,4534.93416201171,7708.12001676079,8623.62060771973,10973.7926012624,5602.56422922653,8300.97166971992,8109.70468403445,3970.25634623971,5722.89020726085,7168.10380801636,4165.39478468101,1665.43326039597,4826.18814729382,6427.53008986705,9369.74524001812,10333.3451251049,,0,,40,NA,NA,0,NA,
79.0210045406637,79.020905469994,79.0210651050224,86.4210205078125,85.9979934692383,86.6706237792969,23,37789.4841230294,61768.4832040941,43539.3600964991,35211.2066001858,45152.8061247633,51764.0590390689,25918.6914540158,10992.6120393286,31286.8590506588,76780.9853967723,77470.2241913177,72305.8834437202,39300.3502770513,55290.3477139606,41274.3372311687,24595.6116288004,38178.4752019055,39151.2193839832,35946.0116640687,15374.7928809965,28704.2509392789,51483.3881076666,72103.8688705896,86187.1533364054,,0,[M+2H]2+ 156.026,32,NA,NA,0,NA,
80.9475248728725,80.947415677543,80.9476045904415,69.6562232971191,69.2807006835938,70.1580352783203,24,26898.5576282421,33222.8199225165,34493.2458843951,24378.7834002712,26940.440859872,23305.0495373191,18129.6695641651,17671.9236208559,15339.8770485304,16168.631527409,20581.4030995272,25767.462360435,19694.0034158344,30481.1036102685,29850.6596235016,21618.4146978566,16829.8993690397,30592.9394204522,15893.3918895723,16229.8515090768,11969.1135433333,18157.9094857554,21876.5507946742,31241.3164144742,,0,[M+Na]+ 57.9555,85,NA,NA,0,NA,
81.016637411575,81.0165885988315,81.0166599268595,86.5143966674805,86.1796417236328,86.7544097900391,4,2554.27290095281,4867.96479960814,3098.76307762582,2263.09223440098,3330.92523103794,4089.05503189199,1629.88856744456,178.399913988799,2116.81018336775,6026.36390735347,6635.38497043769,5974.8566369233,2791.92007534818,4130.34498549416,3237.08403058467,1076.8042820723,2717.93942186907,2766.60391439345,2465.98790925486,320.97990064471,1968.85805137539,3874.04108763791,5447.48235009825,7122.45813350386,,0,[M+3Na-H]2+ 94.0713,32,NA,NA,0,NA,
82.9445322564309,82.9444138556814,82.9445719967625,69.6963920593262,69.2807006835938,70.1580352783203,24,13454.2147274173,16739.4845072653,14975.8542514353,12297.7996868112,13001.7315760749,11146.895661552,8982.22045184598,7593.30073979097,7200.4232152773,8325.70174670101,9505.99602150839,11830.0609832776,10112.9004430821,15012.8348433181,14231.0956652327,11510.4373816927,8748.14693456301,13729.934554721,8057.34029517247,7661.0514951119,5399.54050156099,8508.31905637114,12182.218068128,14142.7371368289,,0,[M+Na]+ 59.9574,85,NA,NA,0,NA,
84.959329804797,84.9593116936878,84.959366825799,63.261,63.0383377075195,63.5589370727539,7,11209.4753934154,13136.648316737,10100.5984424419,14043.8631026207,11971.9513018961,16264.3126705678,12741.6865705712,12896.636923365,11209.4602105776,12445.6296544962,10292.8988713761,11623.8889131255,18033.7452343321,13559.4458641719,15787.5621200818,12065.2230696515,14781.4418892129,15464.2701283973,11021.059105923,12635.1142011821,12384.7452939391,13433.0667854601,12918.2837526882,12887.005051125,,0,[M+K]+ 45.996,40,NA,NA,0,NA,
86.0961610511311,86.0961474635372,86.0962028643701,119.292079193115,116.212860107422,122.393096923828,8,67751.7514461426,70315.3882599293,55381.6775083633,22863.2182130185,36913.7106472843,19913.2604591185,17928.9823758636,9712.47834833833,14461.8055070964,40971.9890233246,37666.7388655973,107457.082636704,26766.1971138815,61160.3759846951,43294.9121157218,27743.9993563984,28731.590563726,40068.3304853889,38682.0655279312,22624.6016727371,32046.8371698281,66615.9686401333,84359.335125139,99528.81822443,,0,,110,Leu/IsoLeu/NorLeu_fragment,leucine/isoleucine/norleucine,0,NA,
87.0437443629511,87.0436698781492,87.043812959981,73.2582702636719,72.9189071655273,73.6280899047852,8,3847.35973583093,4390.0845971408,2881.95661428243,2936.52706990077,6015.87786599181,2799.28728638155,601.930380800277,754.221159881084,343.482827642679,5604.78723427661,4450.53351817791,6426.78556479935,2626.12481269224,7502.95519350344,4435.68159227909,2647.53579373075,2464.75529411069,4508.93008639118,3116.26622736265,2257.60971574827,3543.42706558963,3510.37541245771,8717.6186549873,6599.1999325125,,0,,39,NA,NA,0,NA,
89.1070922552681,89.1070068766447,89.1071387810037,64.8092918395996,64.1638259887695,65.5545043945312,24,22869.8327485111,32763.0522018166,23559.1248700286,25145.368536561,33408.9214107387,23349.1415445011,5097.16834712901,4862.58360856238,7779.38767275568,23883.5144178344,25648.4005004219,36674.3608501351,18055.0254721513,38870.8931448068,33921.2356414293,23811.4650639598,20478.5562250808,35813.7412704729,15038.93660603,7631.87579467918,14087.3108106819,18861.7971685196,34813.1461812084,32799.686088209,,0,,105,putrescine,putrescine,1,"MS, RT",1
90.9765246217208,90.9764521420557,90.9765739106931,67.340991973877,66.9340972900391,67.8574295043945,24,59195.5490783993,62524.750881778,63347.1706962524,60106.3823517016,60032.7839626716,68936.2982962998,69172.5971315575,67658.3400403727,62913.5157814353,56609.9914421221,53914.6808118463,49401.6146177064,66815.3878965823,62417.678247581,73877.455586708,68420.6573180718,68276.5465450153,74271.9960417704,62092.0558838682,72303.034536656,65820.1029757045,63172.3214031638,60416.6766656222,61560.0447386047,,0,[M+2Na]2+ 135.975 [M+H-HCOOH]+ 135.975,19,NA,NA,0,NA,
